Name,calc,Charge,Mult,Mass,Ion_mode,Formula_add,Formula_ded,Multi
M+H,M+1.007276,1,1,1.007276,positive,H1,FALSE,1
M+Na,M+22.989218,1,1,22.989218,positive,Na1,FALSE,1
M+K,M+38.963158,1,1,38.963158,positive,K1,FALSE,1
M+,M-0.00054858,1,1,-0.00054858,positive,FALSE,FALSE,1
M-H2O+H,M-17.0032882315395,1,1,-17.00328823,positive,H1,H2O1,1
M-2H2O+H,M-35.0138529152395,1,1,-35.01385292,positive,H1,H4O2,1
M+NH4,M+18.033823,1,1,18.033823,positive,N1H4,FALSE,1
2M+H,2M+1.007276,1,2,1.007276,positive,H1,FALSE,2
M++,M/2-0.00054858,2,1,-0.00054858,positive,FALSE,FALSE,1
M+2H,M/2+1.007276,2,1,1.007276,positive,H2,FALSE,1
M-H,M-1.007276,-1,1,-1.007276,negative,FALSE,H1,1
M+Cl,M+34.969402,-1,1,34.969402,negative,Cl1,FALSE,1
M+Br,M+78.918885,-1,1,78.918885,negative,Br1,FALSE,1
M+FA-H,M+44.998201,-1,1,44.998201,negative,C1O2H2,H1,1
M+Hac-H,M+59.013851,-1,1,59.013851,negative,C2O2H4,H1,1
M-,M+0.00054858,-1,1,0.00054858,negative,FALSE,FALSE,1
2M-H,2M-1.007276,-1,2,-1.007276,negative,FALSE,H1,2
2M+FA-H,2M+44.998201,-1,2,44.998201,negative,C1O2H2,H1,2
2M+Hac-H,2M+59.013851,-1,2,59.013851,negative,C2O2H4,H1,2
M-2H,M/2-1.007276,-2,1,-1.007276,negative,FALSE,H2,1
M-H2O-H,M-19.0178411358605,-1,1,-19.01784114,negative,FALSE,H3O1,1
